user_id,most_active_type,event_count,user_id,name,email,age,gender,signup_date,day_been_user
user_001,"purchase,login",21,user_001,"Anthony Miller",vsmith@yahoo.com,56,Female,"2025-05-03 00:00:00",165
user_002,login,18,user_002,"Catherine Torres",katie12@lawrence.com,46,Male,"2025-03-26 00:00:00",203
user_003,login,25,user_003,"Leslie Smith",morrowshannon@yahoo.com,32,Male,"2025-05-01 00:00:00",167
user_004,"view_content,logout",7,user_004,"Jamie Warner",maria50@monroe.com,25,Male,"2025-04-22 00:00:00",176
user_005,logout,5,user_005,"Laura Wells",shelbyramirez@gutierrez-gould.net,38,Female,"2025-03-09 00:00:00",220
user_006,"logout,login",24,user_006,"Jackie Wells",znovak@hotmail.com,56,Female,"2025-03-15 00:00:00",214
user_007,"view_content,click_ad",25,user_007,"Thomas Tapia",leeanthony@yahoo.com,36,Female,"2025-05-01 00:00:00",167
user_008,click_ad,27,user_008,"Willie Bentley DDS",urose@hotmail.com,40,Male,"2025-04-03 00:00:00",195
user_009,"login,click_ad",5,user_009,"Dwayne Lopez",stokespaul@gmail.com,28,Female,"2025-04-17 00:00:00",181
user_010,click_ad,7,user_010,"Deanna Hawkins",kellysanchez@jackson.com,28,Male,"2025-04-04 00:00:00",194
user_011,login,22,user_011,"Scott Moore",chris41@lewis.com,41,Other,"2025-03-24 00:00:00",205
user_012,click_ad,29,user_012,"Lisa Zhang",smithmichael@gmail.com,53,Female,"2025-04-04 00:00:00",194
user_013,"view_content,purchase",14,user_013,"Jason Brown",bruce98@yahoo.com,57,Female,"2025-04-08 00:00:00",190
user_014,"view_content,logout,click_ad",26,user_014,"Daniel Clark",ajohnson@yahoo.com,41,Male,"2025-03-20 00:00:00",209
user_015,"logout,purchase",30,user_015,"Mark Huffman",pamela75@hicks-mueller.com,20,Male,"2025-03-25 00:00:00",204
user_016,click_ad,7,user_016,"Sara Jennings",robert19@rice.net,39,Male,"2025-03-12 00:00:00",217
user_017,logout,12,user_017,"Joshua Shea",johncohen@gmail.com,19,Female,"2025-04-03 00:00:00",195
user_018,logout,18,user_018,"Wesley Gallagher",jasonwilliams@morton-jackson.com,41,Male,"2025-04-15 00:00:00",183
user_019,purchase,28,user_019,"Benjamin Thompson",wcampbell@hotmail.com,47,Male,"2025-03-26 00:00:00",203
user_020,view_content,22,user_020,"Amanda Tran",wharper@hotmail.com,55,Male,"2025-03-18 00:00:00",211
user_021,purchase,19,user_021,"Matthew Navarro",dlong@gomez-perez.org,19,Female,"2025-03-25 00:00:00",204
user_022,logout,26,user_022,"Daniel Murray",raymond44@yahoo.com,38,Female,"2025-04-12 00:00:00",186
user_023,logout,27,user_023,"Kelly Miller",davisbryan@yahoo.com,50,Female,"2025-03-27 00:00:00",202
user_024,"click_ad,view_content,logout",6,user_024,"Abigail Gilbert",wjackson@adkins-spence.com,29,Female,"2025-03-18 00:00:00",211
user_025,logout,14,user_025,"Victor Day",lorrainewright@gmail.com,39,Male,"2025-05-01 00:00:00",167
user_026,"login,click_ad",6,user_026,"Jim Martin",josephevans@smith-meyers.com,42,Female,"2025-04-16 00:00:00",182
user_027,logout,30,user_027,"Nathan Bruce",jmurphy@gmail.com,44,Female,"2025-04-07 00:00:00",191
user_028,logout,21,user_028,"Craig Adams",stephenbrown@wright-reynolds.com,59,Male,"2025-04-18 00:00:00",180
user_029,click_ad,12,user_029,"Dwayne Phillips",margaretwright@taylor.com,45,Other,"2025-03-17 00:00:00",212
user_030,"logout,click_ad",5,user_030,"William Li",mortonkristen@mitchell.com,33,Female,"2025-03-12 00:00:00",217
user_031,click_ad,13,user_031,"Dr. Renee Daniels",kimberly02@burns-edwards.com,32,Female,"2025-04-30 00:00:00",168
user_032,view_content,15,user_032,"James Bell",valerie12@hotmail.com,20,Female,"2025-05-07 00:00:00",161
user_033,login,26,user_033,"Carl Black",sharonaustin@hotmail.com,54,Female,"2025-04-03 00:00:00",195
user_034,"logout,purchase",20,user_034,"Gregory Hart",allenpalmer@adams.net,24,Male,"2025-03-21 00:00:00",208
user_035,click_ad,11,user_035,"Andrew Contreras",hoganamanda@mitchell-johnson.org,38,Male,"2025-05-04 00:00:00",164
user_036,"purchase,view_content",14,user_036,"David Hodges",kennethwilliams@hansen-ford.com,26,Female,"2025-04-28 00:00:00",170
user_037,click_ad,27,user_037,"Kevin Thomas",rodriguezlinda@hotmail.com,56,Male,"2025-04-10 00:00:00",188
user_038,logout,30,user_038,"Daniel Gordon",harolddaniels@yahoo.com,35,Male,"2025-05-02 00:00:00",166
user_039,view_content,7,user_039,"Jesus White",jenniferromero@gmail.com,21,Female,"2025-03-14 00:00:00",215
user_040,purchase,22,user_040,"Richard Sanchez DVM",ncarter@gmail.com,42,Male,"2025-03-28 00:00:00",201
user_041,purchase,29,user_041,"Kyle Hayes",jamesgarcia@hotmail.com,31,Male,"2025-03-16 00:00:00",213
user_042,"login,view_content",28,user_042,"Scott Rivera",steve37@gmail.com,26,Male,"2025-03-17 00:00:00",212
user_043,view_content,17,user_043,"Teresa Garcia",christinelittle@hotmail.com,43,Other,"2025-04-24 00:00:00",174
user_044,logout,30,user_044,"Lisa Thomas",johnwhite@yahoo.com,19,Male,"2025-03-26 00:00:00",203
user_045,purchase,11,user_045,"Kimberly White",natalie49@gmail.com,37,Female,"2025-04-07 00:00:00",191
user_046,view_content,29,user_046,"Danny Suarez",psmith@hotmail.com,45,Male,"2025-04-13 00:00:00",185
user_047,view_content,8,user_047,"Taylor Smith",lmurray@hotmail.com,24,Male,"2025-04-17 00:00:00",181
user_048,click_ad,17,user_048,"Christopher Garrison",uwells@strickland.com,25,Male,"2025-04-27 00:00:00",171
user_049,view_content,24,user_049,"Cristian Arnold",deanna04@gmail.com,52,Male,"2025-03-24 00:00:00",205
user_050,purchase,5,user_050,"Manuel Walton",sharoncalderon@hotmail.com,31,Female,"2025-04-04 00:00:00",194
user_051,view_content,12,user_051,"Travis Sanchez",chase61@scott-carpenter.com,34,Female,"2025-05-06 00:00:00",162
user_052,login,18,user_052,"Natasha Hunter",eduncan@yahoo.com,53,Female,"2025-04-28 00:00:00",170
user_053,"logout,login",20,user_053,"Michael Faulkner",robertharrington@hotmail.com,57,Male,"2025-03-24 00:00:00",205
user_054,click_ad,18,user_054,"Bonnie Roth",mhill@moore-adams.net,21,Male,"2025-05-04 00:00:00",164
user_055,"login,purchase",16,user_055,"John Guzman",oscardouglas@gmail.com,19,Male,"2025-03-23 00:00:00",206
user_056,"logout,view_content",23,user_056,"Kathryn Diaz",jerryschneider@webb-jones.org,23,Male,"2025-04-13 00:00:00",185
user_057,purchase,27,user_057,"Jessica Oconnell",mthompson@yahoo.com,59,Female,"2025-04-16 00:00:00",182
user_058,login,19,user_058,"Amy Pittman",wcooper@hotmail.com,21,Male,"2025-04-22 00:00:00",176
user_059,click_ad,6,user_059,"Kyle Randall",nicholas74@williams.com,46,Male,"2025-03-12 00:00:00",217
user_060,"purchase,view_content",6,user_060,"Darrell Boyd",charlene03@rojas.info,35,Male,"2025-05-03 00:00:00",165
